"file","line","object","field","access","context"
"customer_engine_v4.R",,"rec","phase","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","warn_loan_pointless","$","as.integer(rec$warn_loan_pointless)"
"customer_engine_v4.R",,"rec","savings_ratio","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","x_contract","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","x_first_payment","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","x_allocation","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","x_loan_start","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","x_now","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","year_contract","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","year_first_payment","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","year_allocation","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","year_loan_start","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","balance","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","bauspar_sum","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","saving_goal","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","bauspar_loan","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","loan_notional","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","allocation_estimated","$","as.integer(rec$allocation_estimated)"
"customer_engine_v4.R",,"rec","loan_to_bauspar_ratio","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","is_bridge_loan","$","as.integer(rec$is_bridge_loan)"
"customer_engine_v4.R",,"rec","goal_fraction","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","contract_type","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","goal_source","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
"customer_engine_v4.R",,"rec","loan_to_bauspar_ratio","$","rec$loan_to_bauspar_ratio < 0.5"
"customer_engine_v4.R",,"rec","id","$","as.character(rec$id)"
"customer_engine_v4.R",,"progress","update","$","progress$update(i)"
"customer_engine_v4.R",,"progress","close","$","progress$close()"
"customer_engine_v4.R",,"data","BSV","$","data$BSV == bsv"
"customer_engine_v4.R",,"rec","id","$","cat("" CUSTOMER"", rec$id, "" (source: merged_data)\n"")"
"customer_engine_v4.R",,"rec","phase","$","sprintf(""  phase                 : %s\n"", rec$phase)"
"customer_engine_v4.R",,"rec","is_bridge_loan","$","sprintf(""  is_bridge_loan        : %s   (DaBetrag/Bausparsumme = %.3f)\n"", rec$is_bridge_loan, rec$loan_to_bauspar_ratio)"
"customer_engine_v4.R",,"rec","loan_to_bauspar_ratio","$","sprintf(""  is_bridge_loan        : %s   (DaBetrag/Bausparsumme = %.3f)\n"", rec$is_bridge_loan, rec$loan_to_bauspar_ratio)"
"customer_engine_v4.R",,"rec","allocation_in_past","$","sprintf(""  allocation_in_past    : %s\n"", rec$allocation_in_past)"
"customer_engine_v4.R",,"rec","repayment_active","$","sprintf(""  repayment_active      : %s   (Tilgungsbeginn reached?)\n"", rec$repayment_active)"
"customer_engine_v4.R",,"rec","saving_after_allocation","$","sprintf(""  saving_after_alloc.   : %s   (allocated but still saving)\n"", rec$saving_after_allocation)"
"customer_engine_v4.R",,"rec","allocation_estimated","$","sprintf(""  allocation_estimated  : %s\n"", rec$allocation_estimated)"
"customer_engine_v4.R",,"rec","warn_loan_pointless","$","sprintf(""  warn_loan_pointless   : %s\n"", rec$warn_loan_pointless)"
"customer_engine_v4.R",,"rec","saving_reference","$","format(rec$saving_reference, big.mark = "","")"
"customer_engine_v4.R",,"rec","balance","$","format(rec$balance, big.mark = "","")"
"customer_engine_v4.R",,"rec","savings_ratio","$","100 * rec$savings_ratio"
"customer_engine_v4.R",,"rec","saving_goal","$","format(rec$saving_goal, big.mark = "","")"
"customer_engine_v4.R",,"rec","bauspar_loan","$","format(rec$bauspar_loan, big.mark = "","")"
"customer_engine_v4.R",,"rec","contract_start_date","$","sprintf(""  contract_start_date   : %s   (year %s)\n"", rec$contract_start_date, rec$year_contract)"
"customer_engine_v4.R",,"rec","year_contract","$","sprintf(""  contract_start_date   : %s   (year %s)\n"", rec$contract_start_date, rec$year_contract)"
"customer_engine_v4.R",,"rec","first_payment_date","$","sprintf(""  first_payment_date    : %s   (year %s)\n"", rec$first_payment_date, rec$year_first_payment)"
"customer_engine_v4.R",,"rec","year_first_payment","$","sprintf(""  first_payment_date    : %s   (year %s)\n"", rec$first_payment_date, rec$year_first_payment)"
"customer_engine_v4.R",,"rec","allocation_date","$","sprintf(""  allocation_date       : %s   (year %s)\n"", rec$allocation_date, rec$year_allocation)"
"customer_engine_v4.R",,"rec","year_allocation","$","sprintf(""  allocation_date       : %s   (year %s)\n"", rec$allocation_date, rec$year_allocation)"
"customer_engine_v4.R",,"rec","loan_start_date","$","sprintf(""  loan_start_date       : %s   (year %s)\n"", rec$loan_start_date, rec$year_loan_start)"
"customer_engine_v4.R",,"rec","year_loan_start","$","sprintf(""  loan_start_date       : %s   (year %s)\n"", rec$loan_start_date, rec$year_loan_start)"
"customer_engine_v4.R",,"rec","contract_end_date","$","sprintf(""  contract_end_date     : %s\n"", rec$contract_end_date)"
"customer_engine_v4.R",,"rec","x_contract","$","sprintf(""  x_contract / x_first  : %.3f / %.3f\n"", rec$x_contract, rec$x_first_payment)"
"customer_engine_v4.R",,"rec","x_first_payment","$","sprintf(""  x_contract / x_first  : %.3f / %.3f\n"", rec$x_contract, rec$x_first_payment)"
"customer_engine_v4.R",,"rec","x_allocation","$","sprintf(""  x_allocation          : %.3f\n"", rec$x_allocation)"
"customer_engine_v4.R",,"rec","x_loan_start","$","sprintf(""  x_loan_start          : %.3f\n"", rec$x_loan_start)"
"customer_engine_v4.R",,"rec","x_now","$","sprintf(""  x_now (Sie sind hier) : %.3f\n"", rec$x_now)"
"qa_sample_customers_v4.R",,"md","BSV","$","as.character(md$BSV)"
"qa_sample_customers_v4.R",,"COL","ax","$","segments(x, yax - 4, x, yax + 4, col = COL$ax, lwd = 2)"
"qa_sample_customers_v4.R",,"COL","ax","$","al(COL$ax, 0.5)"
"qa_sample_customers_v4.R",,"COL","txt","$","text(x, yax + dy - 4, name, cex = 0.62, col = COL$txt)"
"qa_sample_customers_v4.R",,"COL","ax","$","text(x, yax + dy + 9, datelab, cex = 0.58, col = COL$ax)"
"qa_sample_customers_v4.R",,"COL","txt","$","segments(x, yax + if (dir < 0) 8 else -8, x, y2, lty = 2, col = COL$txt)"
"qa_sample_customers_v4.R",,"COL","txt","$","text(x, ty, label, cex = 0.7, col = COL$txt)"
"qa_sample_customers_v4.R",,"r","goal_fraction","$","is.finite(r$goal_fraction)"
"qa_sample_customers_v4.R",,"r","goal_fraction","$","if (is.finite(r$goal_fraction)) r$goal_fraction else 0.4"
"qa_sample_customers_v4.R",,"r","x_contract","$","gx(r$x_contract, 0.02)"
"qa_sample_customers_v4.R",,"r","x_first_payment","$","gx(r$x_first_payment, 0.06)"
"qa_sample_customers_v4.R",,"r","x_allocation","$","gx(r$x_allocation, 0.4)"
"qa_sample_customers_v4.R",,"r","x_now","$","gx(r$x_now, 0.3)"
"qa_sample_customers_v4.R",,"r","x_loan_start","$","gx(r$x_loan_start, if (is.finite(r$x_allocation)) r$x_allocation else 0.44)"
"qa_sample_customers_v4.R",,"r","x_allocation","$","is.finite(r$x_allocation)"
"qa_sample_customers_v4.R",,"r","x_allocation","$","if (is.finite(r$x_allocation)) r$x_allocation else 0.44"
"qa_sample_customers_v4.R",,"r","savings_ratio","$","is.finite(r$savings_ratio)"
"qa_sample_customers_v4.R",,"r","savings_ratio","$","if (is.finite(r$savings_ratio)) r$savings_ratio else 0.3"
"qa_sample_customers_v4.R",,"r","phase","$","ph <- r$phase"
"qa_sample_customers_v4.R",,"r","warn_loan_pointless","$","isTRUE(r$warn_loan_pointless)"
"qa_sample_customers_v4.R",,"r","loan_to_bauspar_ratio","$","r$loan_to_bauspar_ratio < 0.5"
"qa_sample_customers_v4.R",,"COL","grey","$","poly(c(xf, xa, xa), c(yax, yax, yax - goal), COL$grey, COL$gline)"
"qa_sample_customers_v4.R",,"COL","gline","$","poly(c(xf, xa, xa), c(yax, yax, yax - goal), COL$grey, COL$gline)"
"qa_sample_customers_v4.R",,"COL","grey","$","poly(c(xa, xa, xe), c(yax, yax + loanref, yax), COL$grey, COL$gline)"
"qa_sample_customers_v4.R",,"COL","gline","$","poly(c(xa, xa, xe), c(yax, yax + loanref, yax), COL$grey, COL$gline)"
"qa_sample_customers_v4.R",,"COL","save","$","poly(c(xf, xt, xt), c(yax, yax, yax - shn), COL$save)"
"qa_sample_customers_v4.R",,"COL","save","$","al(COL$save, 0.3)"
"qa_sample_customers_v4.R",,"COL","save","$","poly(c(xf, xn, xn), c(yax, yax, yax - sh), COL$save)"
"qa_sample_customers_v4.R",,"COL","loan","$","al(COL$loan, 0.18)"
"qa_sample_customers_v4.R",,"COL","loan","$","text((xn + xe)/2, yax + lh/2 + 34, paste0(""Darlehen kleiner ("", round((1 - sr) * 100), ""%)""), cex = 0.65, col = COL$loan)"
"qa_sample_customers_v4.R",,"COL","save","$","al(COL$save, 0.85)"
"qa_sample_customers_v4.R",,"COL","loan","$","al(COL$loan, 0.16)"
"qa_sample_customers_v4.R",,"COL","loan","$","poly(c(xa, xa, xnc, xnc), c(yax, yax + lh, yax + dn, yax), COL$loan)"
"qa_sample_customers_v4.R",,"COL","warn","$","text((x0 + xe)/2, yax - 6, ""Keine Guthaben-/DaBetrag-Daten"", cex = 0.9, col = COL$warn, font = 2)"
"qa_sample_customers_v4.R",,"COL","save","$","al(COL$save, 0.15)"
"qa_sample_customers_v4.R",,"COL","loan","$","al(COL$loan, 0.15)"
"qa_sample_customers_v4.R",,"COL","txt","$","text((x0 + xe)/2, yax - 6, ""Vertrag abgeschlossen"", cex = 1, col = COL$txt, font = 2)"
"qa_sample_customers_v4.R",,"COL","txt","$","al(COL$txt, 0.4)"
"qa_sample_customers_v4.R",,"r","saving_goal","$","is.finite(r$saving_goal)"
"qa_sample_customers_v4.R",,"r","saving_goal","$","fmt(r$saving_goal)"
"qa_sample_customers_v4.R",,"COL","txt","$","al(COL$txt, 0.8)"
"qa_sample_customers_v4.R",,"COL","ax","$","segments(x0 - 10, yax, xe + 12, yax, col = COL$ax, lwd = 1.5)"
"qa_sample_customers_v4.R",,"r","year_contract","$","mk(xc, r$year_contract, ""Vertragsbeginn"", 172, yax)"
